title,subtitle,authors,categories,average_rating,num_pages,ratings_count,published_year,combined_features
In Pharaoh's Army,Memories of the Lost War,Tobias Wolff,Biography & Autobiography,4.08,240.0,2329.0,1995.0,"In Pharaoh's ArmyMemories of the Lost WarTobias WolffBiography & AutobiographyThe author recalls his experiences during the Vietnam war, reminiscing about his service in the Mekong Delta, his feelings about the miltary life, and the impact of the Vietnam experience on his life"
Blues for Mister Charlie,A Play,James Baldwin,Drama,4.12,144.0,1131.0,1995.0,Blues for Mister CharlieA PlayJames BaldwinDramaA drama focusing on the murder of a black youth by a white man in a Southern town and the racism and violent emotions it engenders.
Aman,The Story of a Somali Girl,Virginia Lee Barnes,Biography & Autobiography,3.76,368.0,532.0,1994.0,AmanThe Story of a Somali GirlVirginia Lee BarnesBiography & AutobiographyRecounts the experiences of a girl growing up in Somalia during the fifties and sixties and offers a personal look at Somali culture
Encore Provence,New Adventures in the South of France,Peter Mayle,Travel,4.0,240.0,9805.0,2000.0,"Encore ProvenceNew Adventures in the South of FrancePeter MayleTravelThe author continues his celebration of Provence in a new collection of culinary delights, profiles of colorful Gallic characters, and personal observations"
Art & Lies,A Piece for Three Voices and a Bawd,Jeanette Winterson,Fiction,3.87,240.0,3407.0,1996.0,"Art & LiesA Piece for Three Voices and a BawdJeanette WintersonFictionOn a high-speed train hurtling through the near future, three passengers come together--Handel, an ex-priest-turned-surgeon whose humanity is sacrificed to intellect; Picasso, an outcast woman comforted only by her painting; and Sappho, the lesbian poet. Reprint. 25,000 first printing."
Corelli's Mandolin,A Novel,Louis De Bernières,Fiction,3.97,437.0,61387.0,1995.0,"Corelli's MandolinA NovelLouis De BernièresFictionThe idyllic world of the Greek island of Cephallonia is forever changed by the inexorable changes of World War II, as the inhabitants struggle to cope with the Axis invasion and occupation"
The Simple Truth,Poems,Philip Levine,Poetry,4.22,69.0,630.0,1994.0,"The Simple TruthPoemsPhilip LevinePoetryOffers thirty-three poems that interweave a complex web of myth, public and private history, family, memory, and invention as they explore the timeless truths of human existence"
Walt Whitman's America,A Cultural Biography,David S. Reynolds,Biography & Autobiography,4.17,672.0,371.0,1996.0,"Walt Whitman's AmericaA Cultural BiographyDavid S. ReynoldsBiography & AutobiographyA study of the life and works of one of America's finest poets is set against the social, cultural, and political backdrop of his time, offering new insights into his poetry, ideas, and imagery"
The Grotesque,A Novel,Patrick McGrath,Fiction,3.63,178.0,785.0,1996.0,"The GrotesqueA NovelPatrick McGrathFictionA paralyzed Sir Hugo Coal chips away at the mystery of the murder of his daughter's fiance+a7, weighing the possible motives of those who share his manor, including his enigmatic butler, Fledge. Reprint. Movie tie-in."
The Road to Reality,A Complete Guide to the Laws of the Universe,Roger Penrose,Science,4.1,1099.0,5892.0,2007.0,"The Road to RealityA Complete Guide to the Laws of the UniverseRoger PenroseSciencePresents an overview of the physical laws of the universe, with an explanation of the theories of relativity and quantum mechanics, cosmology, the Big Bang, black holes, and string and M theory."
The Living and the Dead,Robert McNamara and Five Lives of a Lost War,Paul Hendrickson,History,4.03,448.0,129.0,1997.0,"The Living and the DeadRobert McNamara and Five Lives of a Lost WarPaul HendricksonHistoryA critical study of Secretary of Defense Robert McNamara and his role in the Vietnam War focuses on the lives of five people who become intertwined in the resulting chaos--a combat Marine, an Army nurse, a Vietnamese refugee, a Quaker, and an artist. Reprint. 60,000 first printing."
Shalimar the Clown,A Novel,Salman Rushdie,Fiction,3.87,398.0,11110.0,2006.0,"Shalimar the ClownA NovelSalman RushdieFictionIn 1991, Ambassador Maximilian Ophuls--ex-ambassador to India, and America's counterterrorism chief--is murdered on the Los Angeles doorstep of his illegitimate daughter's home by his Kashmiri Muslim driver, who calls himself Shalimar the Clown."
In the Land of White Death,An Epic Story of Survival in the Siberian Arctic,Valerian Ivanovich Alʹbanov,Biography & Autobiography,4.0,288.0,1836.0,2000.0,"In the Land of White DeathAn Epic Story of Survival in the Siberian ArcticValerian Ivanovich AlʹbanovBiography & AutobiographyA Russian navigator describes an ill-fated 1912 Arctic expedition aboard the Saint Anna, and his grueling cross-country journey to get help in 1914."
Fear and Loathing in Las Vegas,A Savage Journey to the Heart of the American Dream,Hunter S. Thompson,Biography & Autobiography,4.08,204.0,259867.0,1998.0,Fear and Loathing in Las VegasA Savage Journey to the Heart of the American DreamHunter S. ThompsonBiography & AutobiographyRecords the experiences of a free-lance writer who embarked on a zany journey into the drug culture
Dr. Seuss's ABC,An Amazing Alphabet Book!,Dr. Seuss,Juvenile Fiction,4.08,21.0,27135.0,1996.0,"Dr. Seuss's ABCAn Amazing Alphabet Book!Dr. SeussJuvenile FictionPictures illustrate things that begin with each letter of the alphabet, including Aunt Annie's alligator and a yawning yellow yak"
The More Than Complete Hitchhiker's Guide,Complete & Unabridged,Douglas Adams,Fiction,4.58,624.0,424.0,1987.0,The More Than Complete Hitchhiker's GuideComplete & UnabridgedDouglas AdamsFictionFive stories by Douglas Adams.
"The Metamorphosis, in the Penal Colony and Other Stories",The Great Short Works of Franz Kafka,Franz Kafka,Fiction,4.04,352.0,13610.0,2000.0,"The Metamorphosis, in the Penal Colony and Other StoriesThe Great Short Works of Franz KafkaFranz KafkaFictionTranslated by PEN translation award-winner Joachim Neugroschel, The Metamorphosis, In the Penal Colony, and Other Stories has garnered critical acclaim and is widely recognized as the preeminent English-language anthology of Kafka's stories. These translations illuminate one of this century's most controversial writers and have made Kafka's work accessible to a whole new generation. This classic collection of forty-one great short works -- including such timeless pieces of modern fiction as ""The Judgment"" and ""The Stoker"" -- now includes two new stories, ""First Sorrow"" and ""The Hunger Artist."""
A Life in Letters,A New Collection Edited and Annotated by Matthew J. Bruccoli,F. Scott Fitzgerald,Biography & Autobiography,4.24,528.0,178.0,1995.0,"A Life in LettersA New Collection Edited and Annotated by Matthew J. BruccoliF. Scott FitzgeraldBiography & AutobiographyA vibrant self-portrait of an artist whose work was his life. In this new collection of F. Scott Fitzgerald's letters, edited by leading Fitzgerald scholar and biographer Matthew J. Bruccoli, we see through his own words the artistic and emotional maturation of one of America's most enduring and elegant authors. A Life in Letters is the most comprehensive volume of Fitzgerald's letters -- many of them appearing in print for the first time. The fullness of the selection and the chronological arrangement make this collection the closest thing to an autobiography that Fitzgerald ever wrote. While many readers are familiar with Fitzgerald's legendary ""jazz age"" social life and his friendships with Ernest Hemingway, Gertrude Stein, Edmund Wilson, and other famous authors, few are aware of his writings about his life and his views on writing. Letters to his editor Maxwell Perkins illustrate the development of Fitzgerald's literary sensibility; those to his friend and competitor Ernest Hemingway reveal their difficult relationship. The most poignant letters here were written to his wife, Zelda, from the time of their courtship in Montgomery, Alabama, during World War I to her extended convalescence in a sanatorium near Asheville, North Carolina. Fitzgerald is by turns affectionate and proud in his letters to his daughter, Scottie, at college in the East while he was struggling in Hollywood. For readers who think primarily of Fitzgerald as a hard-drinking playboy for whom writing was effortless, these letters show his serious, painstaking concerns with creating realistic, durable art."
The Short Stories of F. Scott Fitzgerald,A New Collection,F. Scott Fitzgerald,Fiction,4.23,775.0,903.0,1995.0,The Short Stories of F. Scott FitzgeraldA New CollectionF. Scott FitzgeraldFictionGathers more than forty Fitzgerald stories and provides brief background information on each piece
"Janet, My Mother, and Me",A Memoir of Growing Up with Janet Flanner and Natalia Danesi Murray,William Murray,Biography & Autobiography,3.46,320.0,35.0,2000.0,"Janet, My Mother, and MeA Memoir of Growing Up with Janet Flanner and Natalia Danesi MurrayWilliam MurrayBiography & AutobiographyThe author recounts the relationship between his mother and Janet Flanner, and their influence on his life"
Achilles in Vietnam,Combat Trauma and the Undoing of Character,Jonathan Shay,Psychology,4.24,272.0,1057.0,1994.0,"Achilles in VietnamCombat Trauma and the Undoing of CharacterJonathan ShayPsychologyAn original and groundbreaking book that examines the psychological devastation of war by comparing the soldiers of Homer’s Iliad with Vietnam veterans suffering from post-traumatic stress disorder. In this moving, dazzlingly creative book, Dr. Shay examines the psychological devastation of war by comparing the soldiers of Homer’s Iliad with Vietnam veterans suffering from post-traumatic stress disorder. A classic of war literature that has as much relevance as ever in the wake of the wars in Iraq and Afghanistan, it is a “transcendent literary adventure” (The New York Times) and “clearly one of the most original and most important scholarly works to have emerged from the Vietnam War” (Tim O’Brien, author of The Things They Carried)."
